name,symbol,isin_cur,reason
NINETY ONE GLOBAL ST GBL MULTI AST INC I USD DIS USD,0P0001AO48,LU1602119031:USD,FT核验: isin=LU1602119031:USD
NINETY ONE GLOBAL STRATEGY FUND GLOBAL NATURAL RESOURCES FUND I ACC USD,0P00009X5L,LU0345781172:USD,FT核验: isin=LU0345781172:USD
NINETY-ONE GLOBAL ST GLOBAL VALUE EQTY A USD ACC USD,0P0001DHC1,LU1821900393:USD,FT核验: isin=LU1821900393:USD
NINETY-ONE GS GLOBAL EQUITY A INC USD,0P00009NG8,LU0345769987:USD,FT核验: isin=LU0345769987:USD
PIMCO GIS GLOBAL HIGH YIELD E INC USD USD,IE0002420739-USD.LU,IE0002420739:USD,FT核验: isin=IE0002420739:USD
PIMCO GIS GLOBAL INVESTMENT GRADE CREDIT E USD INC USD,0P00000WBD,IE0033386453:USD,FT核验: isin=IE0033386453:USD
PINEBRIDGE GLOBAL DYNAMIC ASSET ALLOCATION Y USD ACC USD,0P000019NH,IE0034235295:USD,FT核验: isin=IE0034235295:USD
PINEBRIDGE GLOBAL EMERGING MARKETS FOCUS EQUITY Y USD ACC USD,0P00000RRD,IE0004897173:USD,FT核验: isin=IE0004897173:USD
SCHRODER INTERNATIONAL SELECTION FUND GLOBAL HIGH YIELD C INC USD,0P00000TCU,LU0189893018:USD,FT核验: isin=LU0189893018:USD
SCHRODER ISF GLOBAL EQUITY ALPHA C ACC USD,0P00001CEH,LU0225283786:USD,FT核验: isin=LU0225283786:USD
SCHRODER ISF GLOBAL M.A DIS USD A HDG MF USD,0P00019BR5,LU1514167136:USD,FT核验: isin=LU1514167136:USD
SCHRODER ISF GLOBAL MULTI ASSET BALANCED C ACC USD,0P0000WFLZ,LU0776415563:USD,FT核验: isin=LU0776415563:USD
T.ROWE PRICE GLOBAL HI YLD BD A USD USD,0P0001JT7G,LU2168316169:USD,FT核验: isin=LU2168316169:USD
